,number,value,params_k_1_init,params_k_2_init,params_kt_1_init,params_kt_2_init,state
0,0,30940632977284.082,2283925.67864249,1658653.335390501,1212091.894396533,8318661.38199856,COMPLETE
1,1,40600126121537.55,4972231.006177853,1739273.3331642984,5122351.359096486,6690845.238557061,COMPLETE
2,2,30690571731430.824,1834486.0641009198,5656760.865203439,6699938.522709872,8550554.272551117,COMPLETE
3,3,46450010388400.445,2462589.0381090054,8340074.180307314,9673054.748796022,6155030.058191317,COMPLETE
4,4,37554764117395.82,712800.2630851526,9608190.71919435,2985669.960523484,1491239.557514481,COMPLETE
5,5,31477207850143.582,5436814.790176178,2592547.4485031343,7360645.685939079,6722215.800592687,COMPLETE
6,6,12082269663568.102,4373953.99808621,67080.03977974219,6976419.519359279,6735223.75059819,COMPLETE
7,7,10919857708905.986,805122.2003959168,819056.9017858384,428698.86754681397,965602.1540449356,COMPLETE
8,8,35339820666270.44,7871559.916700131,9061255.677644309,6009306.906404379,3280237.389194942,COMPLETE
9,9,46168337363526.336,5286819.415888573,5816413.4683859935,3349367.192755207,1477190.0849908204,COMPLETE
10,10,38833132276220.02,2197454.633349102,6969487.991361044,6944183.259375189,7241163.9217748735,COMPLETE
11,11,35551596481500.625,4229127.607299813,4465835.494368888,4919223.122470926,378025.6936997484,COMPLETE
12,12,22022716515957.004,631682.4627802576,4004367.762437442,6238222.707837471,1065841.8770846368,COMPLETE
13,13,32325967417604.027,9854194.462331831,4105375.7058125813,121057.27547456679,727304.4172693703,COMPLETE
14,14,21210455568031.242,9534848.673066203,159719.27372717718,9163184.568280384,4042188.7663536626,COMPLETE
15,15,11788058113961.002,3946155.2416246575,108686.19486860417,9380883.10859218,4431374.410699774,COMPLETE
16,16,19514820357424.77,260260.50385339255,111944.93031626279,8781603.131757041,4238729.688035252,COMPLETE
17,17,29345340117440.258,6693714.803038733,277645.01045595796,8863163.424957741,4319653.931788141,COMPLETE
18,18,12585829306780.07,6756406.146690711,60969.99573363332,8157673.910773744,5036190.989025314,COMPLETE
19,19,31972038650621.492,7123641.514724767,2697481.04072492,3041016.181058475,9983420.02633316,COMPLETE
20,20,40762259479651.44,3682752.0304989778,2788661.598942171,2927401.094102602,9914530.544327643,COMPLETE
21,21,31430371468738.453,3623637.206079049,2882577.436107627,3041474.1785174645,2650388.1480688127,COMPLETE
22,22,36823465500311.46,3342083.035184295,2841944.5293444484,2729396.494640898,2920933.408662862,COMPLETE
23,23,29094745516272.098,3261972.067309686,1463185.9811676622,1809900.9619967132,2110389.542130152,COMPLETE
24,24,28551247592750.035,3429143.9544606716,1168622.9533893487,7889150.821095158,2866480.473644439,COMPLETE
25,25,34765480967002.445,4586308.375089307,1052008.3174650585,8085064.312212059,2912290.279918093,COMPLETE
26,26,29581911498610.74,1348812.8494511358,998800.0967100274,7976573.976291843,5509055.360441618,COMPLETE
27,27,37960588510171.086,4599542.147677308,1045818.3125074282,7904022.014764531,5962091.532334006,COMPLETE
