,number,value,params_k_1_init,params_k_2_init,params_kt_1_init,params_kt_2_init,state
0,0,,10845526.661653616,7615963.923737024,22719308.920103,88587034.88109937,RUNNING
1,1,,41409876.52367683,39703149.30560879,82838680.04222849,50947676.11201046,RUNNING
2,2,,17851448.511669844,71803264.38235693,78866482.65375996,32382676.742869332,RUNNING
3,3,290471438447302.44,67557900.21060213,5492501.596399646,76661076.22199534,61822880.19668971,COMPLETE
4,4,,60010298.06558947,41785117.33304709,25977008.427823532,53420684.15503795,RUNNING
5,5,,14199509.950824408,17225023.157114793,42320574.74290397,12645120.890418915,RUNNING
6,6,,95075354.9662512,52808085.85054023,5369393.21875718,66443951.69475754,RUNNING
7,7,,30406614.94671949,75125277.35196781,74761720.91853985,42844966.58108626,RUNNING
8,8,,10514701.532263294,26841616.732230768,50008790.315852545,8477529.520662675,RUNNING
9,9,5574434642627.083,97329838.61806639,70303981.07126981,97405077.00070976,65915566.50293859,COMPLETE
10,10,5574434642627.083,36778987.72029832,23670619.80926155,68714056.28501028,14654992.167539071,COMPLETE
11,11,6432784242109.482,37046519.24229604,39946590.800537094,40157979.05135694,9421989.814853882,COMPLETE
12,12,5574434642627.083,24522158.150291152,61143773.51910154,29830128.407850865,56992311.53197091,COMPLETE
13,13,8979567834405.287,1118791.830124144,83966431.4298945,3916037.351872459,82674090.17635226,COMPLETE
14,14,5574434642627.083,58035808.82343428,59518972.781447,48064682.31223777,56009456.34939519,COMPLETE
15,15,5574434642627.083,47874378.990738556,65899762.38694298,90706604.64108172,74675329.74010888,COMPLETE
16,16,4833644559042.419,8109433.933203724,21700931.777708765,26578619.97761839,66057123.19635272,COMPLETE
17,17,5574434642627.083,47333695.01959091,42213644.51673445,89125263.10879476,32754825.281076938,COMPLETE
18,18,5574434642627.083,91849738.10649607,19134366.787089597,47947746.61726095,32748866.325951178,COMPLETE
19,19,5543289936724.491,9750317.47735281,94011189.67789713,29892616.20881469,41997544.46541087,COMPLETE
20,20,588586123863688.4,7025341.161078691,3275348.662361055,53311844.781033136,23469746.826361205,COMPLETE
21,21,5574434642627.083,49509282.73090962,92314429.39301457,57151429.49818566,64581548.58634919,COMPLETE
22,22,126697049311052.5,1554649.327507429,6951412.261922418,59143397.56603445,42910123.95589805,COMPLETE
23,23,3943742949354.7134,62454452.540551186,77127712.5381575,964142.3128865734,60097136.18236125,COMPLETE
24,24,5574434642627.083,87309168.173302,53987062.14656216,37493551.94861447,41083195.23364115,COMPLETE
25,25,4675071493876.339,3604353.2124700453,85570403.8781949,5773269.367369592,92008471.89179537,COMPLETE
26,26,3656379056594.3286,3978964.433032684,98003401.53351484,1343339.7599574178,94677349.9815934,COMPLETE
27,27,2404682183582.7656,647946.8428007923,86981549.03316599,2119723.040837463,41610956.74102218,COMPLETE
28,28,27310455182925.855,46244.93854622543,99636516.50288574,9439052.633125931,98737222.5024156,COMPLETE
29,29,5574434642627.083,16133104.328684403,28197582.872045647,21665848.39915285,97976908.74374846,COMPLETE
30,30,5574434642627.083,16672490.944024317,29235580.17309557,17950817.058397107,95144311.5267475,COMPLETE
31,31,5574434642627.083,15893322.964422615,97955371.1195228,16682976.792537034,98858038.38188381,COMPLETE
32,32,5574434642627.083,15915939.374020657,30181180.95641876,23381263.062695496,85772720.17929673,COMPLETE
33,33,5574434642627.083,21256932.6187371,81157593.32174295,17951324.271004133,79834085.29522699,COMPLETE
34,34,5574434642627.083,21367141.41341115,77203711.10627511,26247183.620040637,80552456.84977594,COMPLETE
35,35,5574434642627.083,28222449.1905023,79474727.17811793,27981139.949186828,47621447.9773564,COMPLETE
36,36,5574434642627.083,77098227.6329444,74286713.20140569,32795692.580799147,68876314.31176916,COMPLETE
37,37,4672893084392.429,30338888.385351054,80023282.48042527,1923218.1900007594,74810957.74418116,COMPLETE
38,38,1670817677576386.5,26725237.10447672,77357863.61472163,3471720.8056433643,49560430.21741994,COMPLETE
39,39,380978977873679.9,31614345.771935966,90271671.33088496,6432648.726679195,47925314.81953951,COMPLETE
