,number,value,params_k_1_init,params_k_2_init,params_kt_1_init,params_kt_2_init,state
0,0,1097816983418895.0,7919582.120607623,427391.4267095813,8902266.551655749,9643893.946169259,COMPLETE
1,1,4221410616044.4985,7055328.758927221,9906250.436888782,1278355.7730093976,8521399.074275993,COMPLETE
2,2,2745755102472.892,7593012.3077515,1483961.4409471403,221188.20271168626,9823592.697775496,COMPLETE
3,3,3804688666065.5347,8396949.464602914,9223448.648885358,8177168.450623165,7678769.009432308,COMPLETE
4,4,16971007843934.215,4869271.352640217,1071389.1600333636,24880.91432702122,7700397.452995042,COMPLETE
5,5,421320410318889.9,9282762.724418769,3420017.965956956,7953387.748503975,1606021.5638854469,COMPLETE
6,6,6210841393772.02,679070.9022235709,6939150.216139182,6759903.461663694,2213287.5551287835,COMPLETE
7,7,4752595037987.193,2720130.8114263513,6239233.928029255,5210878.4513821695,2769702.8774687536,COMPLETE
8,8,39966081524632.49,5043844.76802998,5179855.766030925,7249293.541973824,4242811.998911801,COMPLETE
9,9,306328006164729.4,3374613.063006545,4421143.360423114,8560854.191243194,5082816.526234702,COMPLETE
10,10,,5044297.631968892,736228.0585756631,333268.07359349675,3610034.324409769,RUNNING
11,11,10402923885193.217,645701.4289420448,9705285.86361522,9143776.548559587,5528835.747651413,COMPLETE
12,12,5572031396418.747,6847794.34448304,9055711.389113186,5970012.146772342,5749142.568893006,COMPLETE
13,13,,6595547.038074563,2682479.484244078,3075966.6170569463,5967590.4355829805,RUNNING
14,14,17825700432065.293,9902556.750609878,2504405.8099808255,3010170.764925098,7301983.721117996,COMPLETE
15,15,,7356467.647486872,7975629.988401148,3911587.894055502,9737951.654359056,RUNNING
16,16,,8070953.499097367,7866073.783193785,3880530.3491936764,9776369.755393023,RUNNING
17,17,,8342059.708189078,7810457.036667282,3765330.844304085,9901132.429595405,RUNNING
18,18,,8329087.355583125,8032854.772404382,3589887.1925387513,9501672.281803321,RUNNING
19,19,,8406060.153098745,7719259.965329239,3591564.28713526,9415301.966313068,RUNNING
20,20,448497807526884.6,8166195.07703906,7268829.083909389,3723040.7334338473,9128219.22987603,COMPLETE
21,21,4817299218129.365,8416267.281226575,7676524.124331996,3881501.1031380286,9956466.589643674,COMPLETE
22,22,32859086510890.35,8223949.78549949,7186754.346559009,3311545.233151761,9914277.514862783,COMPLETE
23,23,10495783729696.576,8133247.708435872,7365526.584541509,3466966.095970697,9780294.892042944,COMPLETE
24,24,6716182128306.089,6048908.169344758,2087343.700509382,3719888.455458804,7254299.262564778,COMPLETE
25,25,3792591090947.445,5917529.236516487,1850388.8523305985,1946723.7599885985,6833720.175397599,COMPLETE
26,26,7968045218273.682,5800230.79570552,2188256.964009175,1342827.7366527885,232524.80219969433,COMPLETE
27,27,8380469170080.065,5502724.016107637,1875576.261993024,1634211.54803719,7005976.971834876,COMPLETE
28,28,8542637043371.541,5683965.566514058,1935435.3699068052,1493693.647460695,6673730.479267003,COMPLETE
29,29,8285591069384.109,5261283.678235946,1385183.4284856482,1679849.0317315978,6382735.460655833,COMPLETE
30,30,6036927012852.457,4376791.078692626,51161.742229574826,52819.30598877836,3634398.5597784016,COMPLETE
31,31,561750299981469.7,6750607.300987838,3563409.9219320645,9946135.160264485,8208034.613044265,COMPLETE
32,32,12362895754568.623,4063541.5517011387,240018.94002230559,232810.4501964957,8606619.245550625,COMPLETE
33,33,4441739280479.023,3988669.057841005,3120946.0397476954,165554.2514273873,176795.84229864273,COMPLETE
34,34,5549451713059.692,9257494.660759743,5242269.416425833,2492847.012053817,458259.5378744099,COMPLETE
35,35,4409968935898.834,9035439.428137511,3085626.885879254,2437850.307310298,7925662.528987648,COMPLETE
36,36,6730271306670.749,7518617.446155572,3050814.2731226897,4520236.112384909,8000564.4164375495,COMPLETE
37,37,4115839369238.8906,7288829.821474324,3596233.4366812026,4649462.506118184,6052985.669488582,COMPLETE
38,38,3808659595479.9785,7132663.288746372,4133303.9776888536,4878001.496664654,8876662.50025163,COMPLETE
39,39,4671604690785.977,6353499.4371573115,4205585.417390502,666551.9795594807,9051652.267643806,COMPLETE
